date,district,rainfall_mm,temperature_2m_mean,relative_humidity_2m_mean,surface_pressure_mean,wind_speed_10m_mean,cloud_cover_mean,soil_moisture,rain_3d,rain_7d,rain_14d,soil_7d_avg,soil_14d_avg,wetness_index,rain_intensity,month,is_monsoon,flood_risk
2015-01-14,Chengalpattu,0.0,22.8,71,1007.3,9.4,13,0.1941999999999999,0.0,1.5,4.9,0.2211999999999999,0.2477257142857142,0.3317999999999999,0.0,1,0,0
2015-01-15,Chengalpattu,0.0,23.3,77,1007.4,8.7,27,0.18488,0.0,0.8,4.9,0.2125999999999999,0.2402142857142856,0.1700799999999999,0.0,1,0,0
2015-01-16,Chengalpattu,0.7,24.2,80,1007.7,10.8,29,0.1794,0.7,0.7,4.3,0.2038971428571427,0.2324742857142856,0.1427279999999999,0.9985734664764622,1,0,0
2015-01-17,Chengalpattu,0.0,24.4,74,1008.2,10.3,57,0.16964,0.7,0.7,3.1,0.1951199999999999,0.2242428571428571,0.1365839999999999,0.0,1,0,0
2015-01-18,Chengalpattu,0.0,23.7,71,1008.9,8.7,73,0.16016,0.7,0.7,2.7,0.1863085714285714,0.21588,0.1304159999999999,0.0,1,0,0
2015-01-19,Chengalpattu,0.0,23.6,71,1008.6,9.4,15,0.15072,0.0,0.7,2.5,0.1774742857142856,0.2074657142857142,0.1242319999999999,0.0,1,0,0
2015-01-20,Chengalpattu,0.0,23.6,69,1010.1,9.9,5,0.14128,0.0,0.7,2.2,0.1686114285714285,0.1989485714285714,0.118028,0.0,1,0,0
2015-01-21,Chengalpattu,0.0,23.4,68,1011.4,10.6,5,0.13192,0.0,0.7,2.2,0.1597142857142857,0.1904571428571428,0.1118,0.0,1,0,0
2015-01-22,Chengalpattu,0.7,23.5,79,1011.0,10.5,34,0.12672,0.7,1.4,2.2,0.1514057142857142,0.182002857142857,0.211968,0.9985734664764622,1,0,0
2015-01-23,Chengalpattu,1.2,24.3,82,1008.7,8.7,76,0.1242,1.9,1.9,2.6,0.14352,0.1737085714285713,0.272688,0.631246712256707,1,0,0
2015-01-24,Chengalpattu,0.3,24.4,81,1008.7,10.2,49,0.11624,2.2,2.2,2.9,0.1358914285714285,0.1655057142857142,0.2989611428571428,0.1363016810540663,1,0,0
2015-01-25,Chengalpattu,0.0,23.7,72,1010.1,11.4,45,0.10676,1.5,2.2,2.9,0.1282628571428571,0.1572857142857142,0.2821782857142857,0.0,1,0,0
2015-01-26,Chengalpattu,0.0,24.0,68,1009.4,9.4,53,0.09716,0.3,2.2,2.9,0.1206114285714285,0.1490428571428571,0.2653451428571428,0.0,1,0,0
2015-01-27,Chengalpattu,0.0,23.7,73,1007.8,11.1,53,0.08768,0.0,2.2,2.9,0.1129542857142857,0.1407828571428571,0.2484994285714285,0.0,1,0,0
2015-01-28,Chengalpattu,0.0,24.0,71,1006.5,9.5,50,0.07808,0.0,2.2,2.9,0.1052628571428571,0.1324885714285714,0.2315782857142856,0.0,1,0,0
2015-01-29,Chengalpattu,0.2,24.3,75,1007.2,10.0,69,0.06956,0.2,1.7,3.1,0.0970971428571428,0.1242514285714285,0.1650651428571428,0.9950248756218906,1,0,0
2015-01-30,Chengalpattu,0.0,24.5,72,1008.9,9.2,78,0.05976,0.2,0.5,2.4,0.0878914285714285,0.1157057142857142,0.0439457142857142,0.0,1,0,0
2015-01-31,Chengalpattu,0.0,24.5,71,1009.2,11.1,21,0.04996,0.2,0.2,2.4,0.0784228571428571,0.1071571428571428,0.0156845714285714,0.0,1,0,0
2015-02-01,Chengalpattu,0.0,24.5,73,1009.0,9.8,30,0.04016,0.0,0.2,2.4,0.0689085714285714,0.0985857142857142,0.0137817142857142,0.0,2,0,0
2015-02-02,Chengalpattu,0.0,24.5,72,1010.1,11.9,53,0.03036,0.0,0.2,2.4,0.0593657142857142,0.0899885714285714,0.0118731428571428,0.0,2,0,0
2015-02-03,Chengalpattu,0.0,24.6,67,1011.5,13.0,85,0.02052,0.0,0.2,2.4,0.0497714285714285,0.0813628571428571,0.0099542857142857,0.0,2,0,0
2015-02-04,Chengalpattu,0.0,24.6,69,1010.9,12.6,63,0.01068,0.0,0.2,2.4,0.0401428571428571,0.0727028571428571,0.0080285714285714,0.0,2,0,0
2015-02-05,Chengalpattu,0.0,24.4,71,1009.3,10.7,42,0.00092,0.0,0.0,1.7000000000000002,0.0303371428571428,0.0637171428571428,0.0,0.0,2,0,0
2015-02-06,Chengalpattu,0.0,24.6,72,1009.0,9.6,66,0.0,0.0,0.0,0.5,0.0217999999999999,0.0548457142857142,0.0,0.0,2,0,0
2015-02-07,Chengalpattu,0.0,24.4,73,1008.6,9.4,52,0.0,0.0,0.0,0.2,0.0146628571428571,0.0465428571428571,0.0,0.0,2,0,0
2015-02-08,Chengalpattu,0.0,24.3,72,1008.1,9.0,34,0.0,0.0,0.0,0.2,0.0089257142857142,0.0389171428571428,0.0,0.0,2,0,0
2015-02-09,Chengalpattu,0.0,24.4,68,1008.2,9.8,42,0.0,0.0,0.0,0.2,0.0045885714285714,0.0319771428571428,0.0,0.0,2,0,0
2015-02-10,Chengalpattu,0.0,24.5,67,1008.8,11.5,66,0.0,0.0,0.0,0.2,0.0016571428571428,0.0257142857142857,0.0,0.0,2,0,0
2015-02-11,Chengalpattu,1.1,24.6,76,1007.7,11.4,41,0.0,1.1,1.1,1.3,0.0001314285714285,0.0201371428571428,0.0001445714285714,0.9990917347865578,2,0,0
2015-02-12,Chengalpattu,0.0,25.5,74,1007.1,10.3,27,0.0,1.1,1.1,1.1,0.0,0.0151685714285714,0.0,0.0,2,0,0
2015-02-13,Chengalpattu,0.0,25.2,75,1006.9,7.9,11,0.0,1.1,1.1,1.1,0.0,0.0108999999999999,0.0,0.0,2,0,0
2015-02-14,Chengalpattu,0.0,25.0,77,1006.0,7.3,15,0.0,0.0,1.1,1.1,0.0,0.0073314285714285,0.0,0.0,2,0,0
