date,district,soil_moisture,soil_moisture_source,soil_source
2015-01-01,Chengalpattu,0.2900399999999999,simulated,simulated
2015-01-02,Chengalpattu,0.2877599999999999,simulated,simulated
2015-01-03,Chengalpattu,0.2848799999999999,simulated,simulated
2015-01-04,Chengalpattu,0.27724,simulated,simulated
2015-01-05,Chengalpattu,0.26852,simulated,simulated
2015-01-06,Chengalpattu,0.26052,simulated,simulated
2015-01-07,Chengalpattu,0.2508,simulated,simulated
2015-01-08,Chengalpattu,0.24508,simulated,simulated
2015-01-09,Chengalpattu,0.2403199999999999,simulated,simulated
2015-01-10,Chengalpattu,0.2310799999999999,simulated,simulated
2015-01-11,Chengalpattu,0.2218399999999999,simulated,simulated
2015-01-12,Chengalpattu,0.2125599999999999,simulated,simulated
2015-01-13,Chengalpattu,0.2033199999999999,simulated,simulated
2015-01-14,Chengalpattu,0.1941999999999999,simulated,simulated
2015-01-15,Chengalpattu,0.18488,simulated,simulated
2015-01-16,Chengalpattu,0.1794,simulated,simulated
2015-01-17,Chengalpattu,0.16964,simulated,simulated
2015-01-18,Chengalpattu,0.16016,simulated,simulated
2015-01-19,Chengalpattu,0.15072,simulated,simulated
2015-01-20,Chengalpattu,0.14128,simulated,simulated
2015-01-21,Chengalpattu,0.13192,simulated,simulated
2015-01-22,Chengalpattu,0.12672,simulated,simulated
2015-01-23,Chengalpattu,0.1242,simulated,simulated
2015-01-24,Chengalpattu,0.11624,simulated,simulated
2015-01-25,Chengalpattu,0.10676,simulated,simulated
2015-01-26,Chengalpattu,0.09716,simulated,simulated
2015-01-27,Chengalpattu,0.08768,simulated,simulated
2015-01-28,Chengalpattu,0.07808,simulated,simulated
2015-01-29,Chengalpattu,0.06956,simulated,simulated
2015-01-30,Chengalpattu,0.05976,simulated,simulated
2015-01-31,Chengalpattu,0.04996,simulated,simulated
2015-02-01,Chengalpattu,0.04016,simulated,simulated
2015-02-02,Chengalpattu,0.03036,simulated,simulated
2015-02-03,Chengalpattu,0.02052,simulated,simulated
2015-02-04,Chengalpattu,0.01068,simulated,simulated
2015-02-05,Chengalpattu,0.00092,simulated,simulated
2015-02-06,Chengalpattu,0.0,simulated,simulated
2015-02-07,Chengalpattu,0.0,simulated,simulated
2015-02-08,Chengalpattu,0.0,simulated,simulated
2015-02-09,Chengalpattu,0.0,simulated,simulated
2015-02-10,Chengalpattu,0.0,simulated,simulated
2015-02-11,Chengalpattu,0.0,simulated,simulated
2015-02-12,Chengalpattu,0.0,simulated,simulated
2015-02-13,Chengalpattu,0.0,simulated,simulated
