date,district,soil_moisture_simulated,soil_moisture_source
2015-01-01,Chengalpattu,0.29003999999999996,simulated
2015-01-02,Chengalpattu,0.28775999999999996,simulated
2015-01-03,Chengalpattu,0.28487999999999997,simulated
2015-01-04,Chengalpattu,0.27724,simulated
2015-01-05,Chengalpattu,0.26852,simulated
2015-01-06,Chengalpattu,0.26052000000000003,simulated
2015-01-07,Chengalpattu,0.2508,simulated
2015-01-08,Chengalpattu,0.24508,simulated
2015-01-09,Chengalpattu,0.24031999999999998,simulated
2015-01-10,Chengalpattu,0.23107999999999998,simulated
2015-01-11,Chengalpattu,0.22183999999999998,simulated
2015-01-12,Chengalpattu,0.21255999999999997,simulated
2015-01-13,Chengalpattu,0.20331999999999997,simulated
2015-01-14,Chengalpattu,0.19419999999999998,simulated
2015-01-15,Chengalpattu,0.18488,simulated
2015-01-16,Chengalpattu,0.1794,simulated
2015-01-17,Chengalpattu,0.16964,simulated
2015-01-18,Chengalpattu,0.16016000000000002,simulated
2015-01-19,Chengalpattu,0.15072000000000002,simulated
2015-01-20,Chengalpattu,0.14128000000000002,simulated
2015-01-21,Chengalpattu,0.13192,simulated
2015-01-22,Chengalpattu,0.12672000000000003,simulated
2015-01-23,Chengalpattu,0.12420000000000003,simulated
2015-01-24,Chengalpattu,0.11624000000000002,simulated
2015-01-25,Chengalpattu,0.10676000000000002,simulated
2015-01-26,Chengalpattu,0.09716000000000002,simulated
2015-01-27,Chengalpattu,0.08768000000000002,simulated
2015-01-28,Chengalpattu,0.07808000000000002,simulated
2015-01-29,Chengalpattu,0.06956000000000002,simulated
2015-01-30,Chengalpattu,0.05976000000000002,simulated
2015-01-31,Chengalpattu,0.04996000000000002,simulated
2015-02-01,Chengalpattu,0.040160000000000015,simulated
2015-02-02,Chengalpattu,0.030360000000000015,simulated
2015-02-03,Chengalpattu,0.020520000000000014,simulated
2015-02-04,Chengalpattu,0.010680000000000012,simulated
2015-02-05,Chengalpattu,0.0009200000000000128,simulated
2015-02-06,Chengalpattu,0.0,simulated
2015-02-07,Chengalpattu,0.0,simulated
2015-02-08,Chengalpattu,0.0,simulated
2015-02-09,Chengalpattu,0.0,simulated
2015-02-10,Chengalpattu,0.0,simulated
2015-02-11,Chengalpattu,0.0,simulated
2015-02-12,Chengalpattu,0.0,simulated
2015-02-13,Chengalpattu,0.0,simulated
2015-02-14,Chengalpattu,0.0,simulated
2015-02-15,Chengalpattu,0.0,simulated
2015-02-16,Chengalpattu,0.0,simulated
2015-02-17,Chengalpattu,0.0,simulated
2015-02-18,Chengalpattu,0.0,simulated
2015-02-19,Chengalpattu,0.0,simulated
2015-02-20,Chengalpattu,0.0,simulated
2015-02-21,Chengalpattu,0.0,simulated
2015-02-22,Chengalpattu,0.0,simulated
2015-02-23,Chengalpattu,0.0,simulated
2015-02-24,Chengalpattu,0.0,simulated
2015-02-25,Chengalpattu,0.0,simulated
2015-02-26,Chengalpattu,0.0,simulated
2015-02-27,Chengalpattu,0.0,simulated
2015-02-28,Chengalpattu,0.0037599999999999995,simulated
2015-03-01,Chengalpattu,0.0,simulated
2015-03-02,Chengalpattu,0.0,simulated
2015-03-03,Chengalpattu,0.0,simulated
2015-03-04,Chengalpattu,0.0,simulated
2015-03-05,Chengalpattu,0.0,simulated
2015-03-06,Chengalpattu,0.0,simulated
2015-03-07,Chengalpattu,0.0,simulated
2015-03-08,Chengalpattu,0.0,simulated
2015-03-09,Chengalpattu,0.0,simulated
2015-03-10,Chengalpattu,0.0,simulated
2015-03-11,Chengalpattu,0.0,simulated
2015-03-12,Chengalpattu,0.0,simulated
2015-03-13,Chengalpattu,0.0,simulated
2015-03-14,Chengalpattu,0.0,simulated
2015-03-15,Chengalpattu,0.0,simulated
2015-03-16,Chengalpattu,0.0,simulated
2015-03-17,Chengalpattu,0.0,simulated
2015-03-18,Chengalpattu,0.0,simulated
2015-03-19,Chengalpattu,0.0,simulated
2015-03-20,Chengalpattu,0.0,simulated
2015-03-21,Chengalpattu,0.0,simulated
