date,district,rainfall_mm,temperature_2m_mean,relative_humidity_2m_mean,surface_pressure_mean,wind_speed_10m_mean,cloud_cover_mean,soil_moisture,soil_moisture_source,soil_source
2015-01-01,Chengalpattu,0.0,24.9,87,1003.3,5.6,38,0.2900399999999999,simulated,simulated
2015-01-02,Chengalpattu,1.3,25.2,88,1005.7,8.0,38,0.2877599999999999,simulated,simulated
2015-01-03,Chengalpattu,1.2,25.2,89,1006.9,6.4,52,0.2848799999999999,simulated,simulated
2015-01-04,Chengalpattu,0.4,25.1,88,1006.9,5.3,35,0.27724,simulated,simulated
2015-01-05,Chengalpattu,0.2,24.8,83,1006.6,7.9,20,0.26852,simulated,simulated
2015-01-06,Chengalpattu,0.3,24.5,83,1007.0,6.0,25,0.26052,simulated,simulated
2015-01-07,Chengalpattu,0.0,24.3,84,1006.8,7.4,33,0.2508,simulated,simulated
2015-01-08,Chengalpattu,0.7,24.8,84,1007.1,4.9,35,0.24508,simulated,simulated
2015-01-09,Chengalpattu,0.8,23.9,83,1008.5,8.1,30,0.2403199999999999,simulated,simulated
2015-01-10,Chengalpattu,0.0,23.1,74,1008.8,9.8,5,0.2310799999999999,simulated,simulated
2015-01-11,Chengalpattu,0.0,23.1,69,1008.9,9.6,29,0.2218399999999999,simulated,simulated
2015-01-12,Chengalpattu,0.0,23.2,66,1008.4,10.8,34,0.2125599999999999,simulated,simulated
2015-01-13,Chengalpattu,0.0,23.1,67,1007.5,10.2,2,0.2033199999999999,simulated,simulated
2015-01-14,Chengalpattu,0.0,22.8,71,1007.3,9.4,13,0.1941999999999999,simulated,simulated
2015-01-15,Chengalpattu,0.0,23.3,77,1007.4,8.7,27,0.18488,simulated,simulated
2015-01-16,Chengalpattu,0.7,24.2,80,1007.7,10.8,29,0.1794,simulated,simulated
2015-01-17,Chengalpattu,0.0,24.4,74,1008.2,10.3,57,0.16964,simulated,simulated
2015-01-18,Chengalpattu,0.0,23.7,71,1008.9,8.7,73,0.16016,simulated,simulated
2015-01-19,Chengalpattu,0.0,23.6,71,1008.6,9.4,15,0.15072,simulated,simulated
2015-01-20,Chengalpattu,0.0,23.6,69,1010.1,9.9,5,0.14128,simulated,simulated
2015-01-21,Chengalpattu,0.0,23.4,68,1011.4,10.6,5,0.13192,simulated,simulated
2015-01-22,Chengalpattu,0.7,23.5,79,1011.0,10.5,34,0.12672,simulated,simulated
2015-01-23,Chengalpattu,1.2,24.3,82,1008.7,8.7,76,0.1242,simulated,simulated
2015-01-24,Chengalpattu,0.3,24.4,81,1008.7,10.2,49,0.11624,simulated,simulated
2015-01-25,Chengalpattu,0.0,23.7,72,1010.1,11.4,45,0.10676,simulated,simulated
2015-01-26,Chengalpattu,0.0,24.0,68,1009.4,9.4,53,0.09716,simulated,simulated
2015-01-27,Chengalpattu,0.0,23.7,73,1007.8,11.1,53,0.08768,simulated,simulated
2015-01-28,Chengalpattu,0.0,24.0,71,1006.5,9.5,50,0.07808,simulated,simulated
2015-01-29,Chengalpattu,0.2,24.3,75,1007.2,10.0,69,0.06956,simulated,simulated
2015-01-30,Chengalpattu,0.0,24.5,72,1008.9,9.2,78,0.05976,simulated,simulated
2015-01-31,Chengalpattu,0.0,24.5,71,1009.2,11.1,21,0.04996,simulated,simulated
2015-02-01,Chengalpattu,0.0,24.5,73,1009.0,9.8,30,0.04016,simulated,simulated
2015-02-02,Chengalpattu,0.0,24.5,72,1010.1,11.9,53,0.03036,simulated,simulated
2015-02-03,Chengalpattu,0.0,24.6,67,1011.5,13.0,85,0.02052,simulated,simulated
2015-02-04,Chengalpattu,0.0,24.6,69,1010.9,12.6,63,0.01068,simulated,simulated
2015-02-05,Chengalpattu,0.0,24.4,71,1009.3,10.7,42,0.00092,simulated,simulated
2015-02-06,Chengalpattu,0.0,24.6,72,1009.0,9.6,66,0.0,simulated,simulated
2015-02-07,Chengalpattu,0.0,24.4,73,1008.6,9.4,52,0.0,simulated,simulated
2015-02-08,Chengalpattu,0.0,24.3,72,1008.1,9.0,34,0.0,simulated,simulated
2015-02-09,Chengalpattu,0.0,24.4,68,1008.2,9.8,42,0.0,simulated,simulated
2015-02-10,Chengalpattu,0.0,24.5,67,1008.8,11.5,66,0.0,simulated,simulated
2015-02-11,Chengalpattu,1.1,24.6,76,1007.7,11.4,41,0.0,simulated,simulated
2015-02-12,Chengalpattu,0.0,25.5,74,1007.1,10.3,27,0.0,simulated,simulated
2015-02-13,Chengalpattu,0.0,25.2,75,1006.9,7.9,11,0.0,simulated,simulated
2015-02-14,Chengalpattu,0.0,25.0,77,1006.0,7.3,15,0.0,simulated,simulated
2015-02-15,Chengalpattu,0.0,24.9,75,1006.1,7.8,5,0.0,simulated,simulated
2015-02-16,Chengalpattu,0.0,25.0,76,1007.3,7.2,38,0.0,simulated,simulated
2015-02-17,Chengalpattu,0.0,24.5,77,1007.0,6.6,28,0.0,simulated,simulated
2015-02-18,Chengalpattu,0.0,24.3,76,1006.4,9.6,79,0.0,simulated,simulated
2015-02-19,Chengalpattu,0.0,24.4,73,1006.1,9.0,62,0.0,simulated,simulated
2015-02-20,Chengalpattu,0.0,24.6,73,1006.9,7.8,28,0.0,simulated,simulated
2015-02-21,Chengalpattu,0.0,24.6,73,1007.1,7.9,18,0.0,simulated,simulated
2015-02-22,Chengalpattu,0.0,24.7,72,1007.6,8.1,12,0.0,simulated,simulated
2015-02-23,Chengalpattu,0.0,24.3,74,1007.7,7.0,18,0.0,simulated,simulated
2015-02-24,Chengalpattu,0.0,24.4,74,1006.7,7.5,10,0.0,simulated,simulated
2015-02-25,Chengalpattu,0.0,24.3,74,1005.3,7.8,35,0.0,simulated,simulated
2015-02-26,Chengalpattu,0.0,25.7,75,1004.0,8.2,24,0.0,simulated,simulated
2015-02-27,Chengalpattu,1.0,26.9,77,1004.3,8.5,42,0.0,simulated,simulated
2015-02-28,Chengalpattu,2.4,26.6,79,1004.7,10.9,65,0.0037599999999999,simulated,simulated
2015-03-01,Chengalpattu,1.0,26.8,75,1005.0,13.4,40,0.0,simulated,simulated
2015-03-02,Chengalpattu,1.1,26.6,76,1006.2,10.2,34,0.0,simulated,simulated
2015-03-03,Chengalpattu,0.1,26.9,75,1005.6,6.0,28,0.0,simulated,simulated
2015-03-04,Chengalpattu,0.0,27.4,74,1005.2,9.1,23,0.0,simulated,simulated
2015-03-05,Chengalpattu,0.9,27.5,79,1006.1,9.5,37,0.0,simulated,simulated
2015-03-06,Chengalpattu,1.4,27.5,79,1007.2,7.7,38,0.0,simulated,simulated
2015-03-07,Chengalpattu,0.5,27.3,76,1007.1,7.3,35,0.0,simulated,simulated
2015-03-08,Chengalpattu,0.5,27.1,74,1007.7,7.8,29,0.0,simulated,simulated
2015-03-09,Chengalpattu,0.0,27.0,74,1008.6,7.6,17,0.0,simulated,simulated
2015-03-10,Chengalpattu,0.0,26.3,71,1008.5,8.8,18,0.0,simulated,simulated
2015-03-11,Chengalpattu,0.0,26.5,68,1008.1,9.5,24,0.0,simulated,simulated
2015-03-12,Chengalpattu,0.0,27.5,66,1008.1,10.1,43,0.0,simulated,simulated
2015-03-13,Chengalpattu,0.0,27.1,71,1007.7,8.2,24,0.0,simulated,simulated
2015-03-14,Chengalpattu,0.0,26.8,71,1008.5,9.4,41,0.0,simulated,simulated
2015-03-15,Chengalpattu,1.0,26.9,76,1008.4,8.9,77,0.0,simulated,simulated
2015-03-16,Chengalpattu,0.0,26.8,73,1008.4,8.3,43,0.0,simulated,simulated
2015-03-17,Chengalpattu,0.0,26.2,75,1007.2,7.1,64,0.0,simulated,simulated
2015-03-18,Chengalpattu,0.0,26.4,73,1005.1,8.8,40,0.0,simulated,simulated
2015-03-19,Chengalpattu,0.0,26.8,75,1005.6,8.6,67,0.0,simulated,simulated
2015-03-20,Chengalpattu,0.0,27.1,73,1006.9,7.1,33,0.0,simulated,simulated
2015-03-21,Chengalpattu,0.0,27.1,72,1007.5,6.3,20,0.0,simulated,simulated
2015-03-22,Chengalpattu,0.0,27.3,73,1006.2,8.4,13,0.0,simulated,simulated
2015-03-23,Chengalpattu,0.0,28.0,75,1004.6,10.3,23,0.0,simulated,simulated
2015-03-24,Chengalpattu,0.0,27.4,78,1004.1,10.7,23,0.0,simulated,simulated
2015-03-25,Chengalpattu,0.0,27.4,76,1005.1,10.2,34,0.0,simulated,simulated
2015-03-26,Chengalpattu,0.0,27.5,73,1007.0,8.2,49,0.0,simulated,simulated
2015-03-27,Chengalpattu,0.0,27.9,69,1007.3,8.0,34,0.0,simulated,simulated
2015-03-28,Chengalpattu,0.0,28.2,73,1006.0,8.6,10,0.0,simulated,simulated
2015-03-29,Chengalpattu,0.0,28.4,73,1004.7,8.9,18,0.0,simulated,simulated
2015-03-30,Chengalpattu,0.2,28.8,73,1004.5,10.2,47,0.0,simulated,simulated
2015-03-31,Chengalpattu,1.8,28.6,76,1004.7,9.5,62,0.0,simulated,simulated
2015-04-01,Chengalpattu,1.4,28.8,75,1004.5,10.1,85,0.0,simulated,simulated
2015-04-02,Chengalpattu,0.0,29.2,74,1003.3,12.7,52,0.0,simulated,simulated
2015-04-03,Chengalpattu,0.0,29.9,72,1001.1,12.8,21,0.0,simulated,simulated
2015-04-04,Chengalpattu,0.0,30.3,72,999.4,14.1,69,0.0,simulated,simulated
2015-04-05,Chengalpattu,0.0,29.8,75,1000.6,15.0,41,0.0,simulated,simulated
2015-04-06,Chengalpattu,0.0,29.4,72,1001.3,14.4,26,0.0,simulated,simulated
2015-04-07,Chengalpattu,0.0,29.5,74,1002.2,14.1,35,0.0,simulated,simulated
2015-04-08,Chengalpattu,0.3,28.8,76,1003.9,12.6,63,0.0,simulated,simulated
2015-04-09,Chengalpattu,0.8,28.9,75,1004.3,10.5,61,0.0,simulated,simulated
2015-04-10,Chengalpattu,0.0,29.1,71,1004.7,11.1,34,0.0,simulated,simulated
2015-04-11,Chengalpattu,0.0,29.0,70,1004.9,12.8,15,0.0,simulated,simulated
2015-04-12,Chengalpattu,0.2,29.0,68,1006.3,10.0,48,0.0,simulated,simulated
2015-04-13,Chengalpattu,0.4,28.4,65,1006.4,8.3,98,0.0,simulated,simulated
2015-04-14,Chengalpattu,0.2,28.3,66,1004.8,8.9,39,0.0,simulated,simulated
2015-04-15,Chengalpattu,22.4,25.7,83,1005.3,6.4,80,0.12412,simulated,simulated
2015-04-16,Chengalpattu,3.5,27.1,82,1006.0,5.3,43,0.13428,simulated,simulated
2015-04-17,Chengalpattu,1.6,28.1,78,1004.4,6.1,38,0.13264,simulated,simulated
2015-04-18,Chengalpattu,0.2,28.5,74,1002.4,7.0,47,0.12244,simulated,simulated
2015-04-19,Chengalpattu,0.0,28.7,73,1002.6,7.5,22,0.11096,simulated,simulated
2015-04-20,Chengalpattu,0.5,28.9,74,1004.1,8.4,72,0.1024,simulated,simulated
2015-04-21,Chengalpattu,6.1,28.3,79,1004.1,10.3,98,0.12768,simulated,simulated
2015-04-22,Chengalpattu,0.0,29.4,74,1003.1,12.7,85,0.11592,simulated,simulated
2015-04-23,Chengalpattu,0.0,30.2,72,1002.8,13.8,47,0.10384,simulated,simulated
2015-04-24,Chengalpattu,0.8,30.3,72,1003.6,10.1,52,0.09652,simulated,simulated
2015-04-25,Chengalpattu,5.0,28.3,78,1003.1,11.9,58,0.1152,simulated,simulated
2015-04-26,Chengalpattu,0.5,29.0,75,1003.7,10.3,36,0.1066,simulated,simulated
2015-04-27,Chengalpattu,0.5,28.7,79,1004.6,9.2,41,0.09812,simulated,simulated
2015-04-28,Chengalpattu,0.0,29.2,75,1003.9,12.1,20,0.08644,simulated,simulated
2015-04-29,Chengalpattu,0.0,29.7,75,1003.2,15.3,18,0.07456,simulated,simulated
2015-04-30,Chengalpattu,0.0,30.0,74,1003.3,15.0,7,0.06256,simulated,simulated
2015-05-01,Chengalpattu,0.1,30.4,73,1002.4,15.0,47,0.051,simulated,simulated
2015-05-02,Chengalpattu,0.0,30.3,72,1002.0,14.9,53,0.03888,simulated,simulated
2015-05-03,Chengalpattu,0.4,30.2,74,1002.2,13.1,27,0.0292,simulated,simulated
2015-05-04,Chengalpattu,1.9,29.5,76,1003.0,11.3,39,0.0288,simulated,simulated
2015-05-05,Chengalpattu,0.8,29.4,74,1002.7,8.0,70,0.02184,simulated,simulated
2015-05-06,Chengalpattu,0.7,29.5,74,1001.7,9.4,77,0.01424,simulated,simulated
2015-05-07,Chengalpattu,0.6,30.2,72,1002.4,8.9,87,0.00576,simulated,simulated
2015-05-08,Chengalpattu,0.0,30.7,73,1001.3,10.5,65,0.0,simulated,simulated
2015-05-09,Chengalpattu,0.0,30.9,72,999.9,12.9,88,0.0,simulated,simulated
2015-05-10,Chengalpattu,0.0,30.5,74,1000.3,11.2,95,0.0,simulated,simulated
2015-05-11,Chengalpattu,0.5,29.6,75,1001.9,11.0,95,0.0,simulated,simulated
2015-05-12,Chengalpattu,0.6,30.0,74,1002.0,8.6,83,0.0,simulated,simulated
2015-05-13,Chengalpattu,8.5,27.2,86,1001.8,7.3,100,0.0401199999999999,simulated,simulated
2015-05-14,Chengalpattu,12.3,26.8,88,1002.1,7.6,100,0.1031999999999999,simulated,simulated
2015-05-15,Chengalpattu,4.0,27.7,85,1002.1,6.3,99,0.1161199999999999,simulated,simulated
2015-05-16,Chengalpattu,7.0,27.4,85,1000.8,6.7,99,0.1471599999999999,simulated,simulated
2015-05-17,Chengalpattu,11.4,27.8,84,999.3,10.2,100,0.2044399999999999,simulated,simulated
2015-05-18,Chengalpattu,0.4,29.2,78,999.1,11.1,88,0.19516,simulated,simulated
2015-05-19,Chengalpattu,0.0,30.5,72,999.2,13.5,72,0.18296,simulated,simulated
2015-05-20,Chengalpattu,0.0,30.9,72,999.2,13.2,43,0.1706,simulated,simulated
2015-05-21,Chengalpattu,0.0,32.1,68,999.0,17.6,83,0.15776,simulated,simulated
2015-05-22,Chengalpattu,0.0,32.2,63,999.1,16.4,92,0.14488,simulated,simulated
2015-05-23,Chengalpattu,0.1,32.1,64,999.1,15.0,88,0.13264,simulated,simulated
2015-05-24,Chengalpattu,0.0,32.6,61,999.3,13.4,51,0.1196,simulated,simulated
2015-05-25,Chengalpattu,0.0,33.1,57,999.0,13.2,51,0.10636,simulated,simulated
2015-05-26,Chengalpattu,0.0,32.6,59,999.5,12.6,50,0.09332,simulated,simulated
2015-05-27,Chengalpattu,0.1,32.2,59,999.6,14.5,78,0.08104,simulated,simulated
2015-05-28,Chengalpattu,0.0,31.3,66,998.3,14.5,62,0.06852,simulated,simulated
2015-05-29,Chengalpattu,0.0,31.7,65,998.5,11.6,58,0.05584,simulated,simulated
2015-05-30,Chengalpattu,0.2,31.0,69,999.5,11.4,50,0.04464,simulated,simulated
2015-05-31,Chengalpattu,0.0,31.0,72,998.5,14.2,78,0.03224,simulated,simulated
2015-06-01,Chengalpattu,8.4,29.6,75,999.0,8.0,99,0.0708,simulated,simulated
2015-06-02,Chengalpattu,2.0,30.4,73,999.9,7.4,95,0.07064,simulated,simulated
2015-06-03,Chengalpattu,0.4,30.0,72,999.5,8.2,90,0.06104,simulated,simulated
2015-06-04,Chengalpattu,0.5,30.0,75,999.9,13.2,76,0.05204,simulated,simulated
2015-06-05,Chengalpattu,1.8,30.3,74,1000.6,11.6,94,0.05072,simulated,simulated
2015-06-06,Chengalpattu,0.2,30.1,75,1000.0,9.0,99,0.03988,simulated,simulated
2015-06-07,Chengalpattu,0.0,30.8,72,999.5,14.9,67,0.02756,simulated,simulated
2015-06-08,Chengalpattu,2.3,30.9,68,1000.1,13.2,52,0.029,simulated,simulated
2015-06-09,Chengalpattu,0.8,30.6,67,1000.8,7.5,85,0.02156,simulated,simulated
2015-06-10,Chengalpattu,6.3,30.0,74,999.8,11.0,94,0.04736,simulated,simulated
2015-06-11,Chengalpattu,2.8,31.0,68,999.0,13.3,73,0.05176,simulated,simulated
2015-06-12,Chengalpattu,2.6,29.6,73,1000.0,8.2,92,0.05552,simulated,simulated
2015-06-13,Chengalpattu,0.7,30.5,70,999.1,11.2,87,0.04752,simulated,simulated
2015-06-14,Chengalpattu,4.8,30.7,63,998.4,10.4,96,0.06404,simulated,simulated
2015-06-15,Chengalpattu,0.4,30.5,62,998.0,13.3,95,0.05424,simulated,simulated
2015-06-16,Chengalpattu,3.0,29.8,63,997.9,13.5,89,0.06032,simulated,simulated
2015-06-17,Chengalpattu,5.5,27.2,80,997.1,12.4,100,0.08244,simulated,simulated
2015-06-18,Chengalpattu,0.5,28.2,68,997.3,9.6,100,0.07416,simulated,simulated
2015-06-19,Chengalpattu,0.2,29.4,63,997.2,13.1,100,0.0636,simulated,simulated
2015-06-20,Chengalpattu,0.0,30.2,56,996.6,15.9,100,0.05152,simulated,simulated
2015-06-21,Chengalpattu,0.0,31.1,53,996.9,16.9,100,0.03908,simulated,simulated
2015-06-22,Chengalpattu,0.0,31.4,55,998.2,16.9,97,0.02652,simulated,simulated
2015-06-23,Chengalpattu,0.0,31.3,59,999.4,15.1,79,0.014,simulated,simulated
2015-06-24,Chengalpattu,0.0,31.6,57,1000.1,15.4,61,0.00136,simulated,simulated
2015-06-25,Chengalpattu,0.0,31.9,52,999.6,16.4,94,0.0,simulated,simulated
2015-06-26,Chengalpattu,0.8,31.4,55,998.8,15.7,100,0.0,simulated,simulated
2015-06-27,Chengalpattu,1.3,31.3,55,999.1,15.2,94,0.0,simulated,simulated
2015-06-28,Chengalpattu,0.3,31.2,60,1000.7,13.8,84,0.0,simulated,simulated
2015-06-29,Chengalpattu,0.1,30.9,62,1002.2,12.1,83,0.0,simulated,simulated
2015-06-30,Chengalpattu,0.1,31.1,62,1001.9,11.5,89,0.0,simulated,simulated
2015-07-01,Chengalpattu,0.0,31.5,61,1002.2,12.9,94,0.0,simulated,simulated
2015-07-02,Chengalpattu,0.0,32.0,59,1002.3,12.5,32,0.0,simulated,simulated
2015-07-03,Chengalpattu,6.2,31.3,62,1002.1,11.1,79,0.0246799999999999,simulated,simulated
2015-07-04,Chengalpattu,0.0,32.2,56,1001.1,12.4,76,0.0117999999999999,simulated,simulated
2015-07-05,Chengalpattu,0.0,32.6,51,999.2,13.2,75,0.0,simulated,simulated
2015-07-06,Chengalpattu,0.0,33.0,46,998.4,13.7,36,0.0,simulated,simulated
2015-07-07,Chengalpattu,0.0,32.5,44,998.1,15.0,99,0.0,simulated,simulated
2015-07-08,Chengalpattu,0.0,32.4,51,998.8,13.3,91,0.0,simulated,simulated
2015-07-09,Chengalpattu,0.0,32.5,51,999.5,14.1,94,0.0,simulated,simulated
2015-07-10,Chengalpattu,1.9,31.6,57,998.0,14.7,99,0.0,simulated,simulated
2015-07-11,Chengalpattu,0.0,31.6,54,998.8,12.4,91,0.0,simulated,simulated
2015-07-12,Chengalpattu,0.0,32.0,54,999.0,12.6,84,0.0,simulated,simulated
2015-07-13,Chengalpattu,3.4,31.3,63,998.4,10.6,37,0.00788,simulated,simulated
2015-07-14,Chengalpattu,4.3,30.8,65,997.7,8.6,89,0.02136,simulated,simulated
2015-07-15,Chengalpattu,3.7,30.1,69,996.9,8.8,97,0.03152,simulated,simulated
2015-07-16,Chengalpattu,1.0,30.2,67,995.9,11.3,95,0.0254399999999999,simulated,simulated
2015-07-17,Chengalpattu,0.6,30.6,61,996.7,12.3,96,0.0167999999999999,simulated,simulated
2015-07-18,Chengalpattu,1.6,30.6,62,997.9,11.6,95,0.0141599999999999,simulated,simulated
2015-07-19,Chengalpattu,3.2,30.5,59,998.3,15.4,96,0.0211599999999999,simulated,simulated
2015-07-20,Chengalpattu,0.5,30.2,58,997.7,13.8,91,0.0120799999999999,simulated,simulated
2015-07-21,Chengalpattu,2.9,30.0,64,997.9,12.5,93,0.0174799999999999,simulated,simulated
2015-07-22,Chengalpattu,2.8,29.3,73,998.9,12.9,78,0.0225599999999999,simulated,simulated
2015-07-23,Chengalpattu,7.2,29.3,73,1000.3,12.9,68,0.0540399999999999,simulated,simulated
2015-07-24,Chengalpattu,0.1,29.4,70,1001.3,11.2,58,0.0428799999999999,simulated,simulated
2015-07-25,Chengalpattu,2.2,29.6,67,1001.0,11.7,92,0.0442399999999999,simulated,simulated
2015-07-26,Chengalpattu,2.0,28.9,68,1001.4,11.7,100,0.0446799999999999,simulated,simulated
2015-07-27,Chengalpattu,1.3,29.3,67,1002.3,8.4,100,0.0407599999999999,simulated,simulated
2015-07-28,Chengalpattu,1.3,29.7,67,1002.6,9.0,99,0.0366799999999999,simulated,simulated
2015-07-29,Chengalpattu,0.0,30.1,67,1001.9,11.9,99,0.0246399999999999,simulated,simulated
2015-07-30,Chengalpattu,0.0,30.4,63,1001.6,11.1,100,0.0124799999999999,simulated,simulated
2015-07-31,Chengalpattu,1.8,30.0,66,1001.4,11.2,100,0.0112799999999999,simulated,simulated
2015-08-01,Chengalpattu,0.4,30.1,64,1002.3,9.3,100,0.0016399999999999,simulated,simulated
2015-08-02,Chengalpattu,6.8,27.5,78,1002.5,10.4,97,0.0314399999999999,simulated,simulated
2015-08-03,Chengalpattu,3.6,29.5,66,1001.0,12.4,92,0.0412399999999999,simulated,simulated
2015-08-04,Chengalpattu,0.8,29.5,65,1000.7,10.8,99,0.0342399999999999,simulated,simulated
2015-08-05,Chengalpattu,0.6,29.5,67,1000.2,12.4,84,0.0260399999999999,simulated,simulated
2015-08-06,Chengalpattu,0.4,30.3,60,999.2,13.7,68,0.0163199999999999,simulated,simulated
2015-08-07,Chengalpattu,0.2,30.5,61,998.9,11.9,82,0.0053199999999999,simulated,simulated
2015-08-08,Chengalpattu,0.0,31.0,60,998.7,11.2,89,0.0,simulated,simulated
2015-08-09,Chengalpattu,3.0,30.7,62,997.2,10.3,96,0.0057199999999999,simulated,simulated
2015-08-10,Chengalpattu,7.7,29.8,67,997.0,9.8,98,0.0399999999999999,simulated,simulated
2015-08-11,Chengalpattu,3.1,30.2,64,998.7,9.9,100,0.0465199999999999,simulated,simulated
2015-08-12,Chengalpattu,0.2,29.7,67,999.9,7.2,100,0.0358399999999999,simulated,simulated
2015-08-13,Chengalpattu,0.4,30.4,64,999.7,10.1,87,0.0260799999999999,simulated,simulated
2015-08-14,Chengalpattu,1.6,30.2,67,1000.0,9.8,45,0.0235999999999999,simulated,simulated
2015-08-15,Chengalpattu,6.5,30.1,69,1000.9,10.0,54,0.0505599999999999,simulated,simulated
2015-08-16,Chengalpattu,14.4,28.6,77,1002.5,9.3,90,0.12552,simulated,simulated
2015-08-17,Chengalpattu,10.3,28.0,80,1001.8,8.5,55,0.17612,simulated,simulated
2015-08-18,Chengalpattu,0.0,28.3,80,1002.5,11.0,26,0.1648,simulated,simulated
2015-08-19,Chengalpattu,0.0,28.7,78,1003.3,13.8,55,0.15332,simulated,simulated
2015-08-20,Chengalpattu,1.8,29.4,75,1002.9,12.2,55,0.15236,simulated,simulated
2015-08-21,Chengalpattu,12.5,28.8,78,1003.1,6.4,93,0.21584,simulated,simulated
2015-08-22,Chengalpattu,7.5,27.4,80,1002.0,9.9,100,0.24988,simulated,simulated
2015-08-23,Chengalpattu,9.2,27.7,80,1001.4,11.3,93,0.294,simulated,simulated
2015-08-24,Chengalpattu,0.0,29.2,71,1001.8,10.8,83,0.28232,simulated,simulated
2015-08-25,Chengalpattu,0.3,30.0,65,1000.8,9.2,85,0.27212,simulated,simulated
2015-08-26,Chengalpattu,0.7,29.7,70,999.6,10.3,99,0.26444,simulated,simulated
2015-08-27,Chengalpattu,8.6,28.5,76,999.8,9.3,90,0.3046399999999999,simulated,simulated
2015-08-28,Chengalpattu,0.0,28.9,71,1000.7,10.0,91,0.2930799999999999,simulated,simulated
2015-08-29,Chengalpattu,0.0,29.5,71,1000.4,10.3,33,0.28128,simulated,simulated
2015-08-30,Chengalpattu,0.1,29.9,70,1001.2,9.5,46,0.2699199999999999,simulated,simulated
2015-08-31,Chengalpattu,0.0,30.0,71,1002.0,7.4,74,0.2579199999999999,simulated,simulated
2015-09-01,Chengalpattu,0.0,30.1,70,1001.0,11.5,100,0.2458799999999999,simulated,simulated
2015-09-02,Chengalpattu,0.1,30.2,69,1000.6,10.0,100,0.2343999999999999,simulated,simulated
2015-09-03,Chengalpattu,1.0,29.2,77,1002.3,11.0,96,0.2287199999999999,simulated,simulated
2015-09-04,Chengalpattu,0.6,29.1,76,1004.2,10.6,41,0.2206799999999999,simulated,simulated
2015-09-05,Chengalpattu,0.4,29.0,77,1004.9,10.5,45,0.2114799999999999,simulated,simulated
2015-09-06,Chengalpattu,1.2,29.6,72,1004.0,14.9,68,0.2068399999999999,simulated,simulated
2015-09-07,Chengalpattu,25.1,27.8,80,1004.3,7.5,100,0.3463199999999999,simulated,simulated
